Store_ID,Store_Name,Brand_Name,Store_Type,City,City_Tier,Product_Name,Category,Sub_Category,Product_Stage,Quantity_Available,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit_Margin,Average_Order_Value,Inventory_Turnover,Days_of_Stock,Customer_Segment,Sales_Channel,Payment_Method,Supplier,Supplier_Rating,Promotion_Type,Promotion_Impact,Max_Discount_Offered,Return_Rate,Return_Reason,Customer_Satisfaction,Online_Rating,Review_Count,Sales_Rep_Experience,Sales_Rep_Rating,Market_Share,Competition_Level,Competitor_Count,Brand_Loyalty,Brand_Awareness,Price_Competitiveness,Weather_Impact,Delivery_Time,Shipping_Cost,Month,Year,Quarter,Season
BX_PUNE_034,BrandX_India Superstore Pune,BrandX_India,Flagship,Pune,Tier1,Green Tea 100g,Groceries,Tea,Declining,125,24,305,239,7320,21.64,432,2.3,156,Budget,BrandX_India Online,UPI,BrandX_India E-commerce Hub,NaN,Festival Offer,23.1,9,3.1,Wrong Size,4,4.6,53,5,4.8,15.3,Medium,8,70.8,75.7,Standard,Low,6,57,1,2022,Q1,Spring
BX_MUMBAI_023,BrandX_India Superstore Mumbai,BrandX_India,Street Store,Mumbai,Metro,White Sugar 1kg,Groceries,Sugar,Declining,135,35,47,33,1645,29.79,63,3.11,116,Luxury,BrandX_India Online,UPI,BrandX_India Direct Import,NaN,Clearance,34.9,21,2.9,Poor Quality,3.9,4.4,202,10,3.6,18.9,High,25,80.5,81.5,Competitive,Low,4,99,1,2022,Q1,Spring
BX_PUNE_073,BrandX_India Trends Pune,BrandX_India,Flagship,Pune,Tier1,Levi's T-Shirt,Clothes,T-Shirts,Declining,215,31,2140,1715,66340,19.86,2994,1.73,208,Mid-Range,BrandX_India Online,Wallet,BrandX_India Local Sourcing,NaN,Clearance,29.4,36,6.3,Wrong Size,4.3,4.7,77,1,4,14.2,Medium,11,68.5,76.7,Standard,Medium,4,101,1,2022,Q1,Spring
BX_CHENNAI_061,BrandX_India Trends Chennai,BrandX_India,Mall Store,Chennai,Metro,Adidas Hoodie,Clothes,Jackets,New Launch,163,22,3534,2894,77748,18.11,4416,1.62,222,Premium,BrandX_India App,Card,BrandX_India Direct Import,NaN,Flash Sale,37.3,31,4,Wrong Size,4.4,5,221,7,3.9,16.4,High,19,92.4,88,Competitive,Medium,5,79,1,2022,Q1,Spring
BX_CHENNAI_033,BrandX_India Connect Chennai,BrandX_India,Mall Store,Chennai,Metro,PlayStation 5,Gadgets,Gaming Consoles,Declining,167,39,50676,40467,1976364,20.15,54629,2.8,128,Budget,BrandX_India App,Card,BrandX_India Local Sourcing,NaN,BOGO,33.1,43,4.8,Defective,3.9,4.9,205,6,4.9,13.4,High,19,82.9,89.5,Competitive,Low,2,110,1,2022,Q1,Spring
BX_DELHI_082,BrandX_India Superstore Delhi,BrandX_India,Street Store,Delhi,Metro,Toor Dal 1kg,Groceries,Dal,New Launch,171,107,173,139,18511,19.65,206,7.51,48,Mid-Range,BrandX_India Store,Credit,BrandX_India Brand Partners,NaN,BOGO,13.7,34,7.3,Poor Quality,4,4.4,146,3,4.2,13.3,Very High,25,81.3,85.3,Aggressive,Low,4,108,1,2022,Q1,Spring
BX_MUMBAI_062,BrandX_India Accessories Mumbai,BrandX_India,Street Store,Mumbai,Metro,PlayStation 5,Gadgets,Gaming Consoles,Mature,113,59,51299,41568,3026641,18.97,74876,6.27,57,Premium,BrandX_India Online,Cash,BrandX_India Direct Import,NaN,No Promotion,0,0,1.5,Damaged,4.4,4.1,441,4,4.2,17.2,High,24,98,81.6,Competitive,Low,2,90,1,2022,Q1,Spring
BX_DELHI_062,BrandX_India Digital Delhi,BrandX_India,Mall Store,Delhi,Metro,MacBook Air M2,Electronics,Laptops,Mature,159,47,103410,80707,4860270,21.95,121417,3.55,101,Budget,BrandX_India Phone Order,Wallet,BrandX_India E-commerce Hub,NaN,Festival Offer,33.2,10,4.1,Poor Quality,4.3,4.6,282,6,4.4,26,High,25,81.6,82.4,Competitive,Low,3,137,1,2022,Q1,Spring
BX_MUMBAI_042,BrandX_India Appliances Mumbai,BrandX_India,Street Store,Mumbai,Metro,Aquaguard Crystal,Home Appliances,Water Purifiers,Declining,183,51,17070,13484,870570,21.01,23093,3.34,108,Premium,BrandX_India Phone Order,UPI,BrandX_India E-commerce Hub,NaN,No Promotion,0,0,2.4,Wrong Size,4,4.4,159,3,4.2,15.1,Very High,21,96.3,82.7,Aggressive,Low,4,214,1,2022,Q1,Spring
BX_NAGPUR_077,BrandX_India Style Nagpur,BrandX_India,Mall Store,Nagpur,Tier2,H&M Cotton Tee,Clothes,T-Shirts,New Launch,184,44,808,618,35552,23.51,866,2.87,125,Budget,BrandX_India Social Commerce,Card,BrandX_India Direct Import,NaN,No Promotion,0,0,3.5,Defective,4,4.7,222,2,3.6,11.2,Low,6,69.6,64.6,Standard,Medium,3,73,1,2022,Q1,Spring
